User_ID,Gender,Device,Country,Family_Member,Age,Time_Consuming_Per_Week,Genre,Satisfaction,Monthly_Income,Join_Date,Last_Payment_Date,Subscription_ID,Monthly_Revenue,Subscription_Method,Monthly_Fee,No_Device,Plan_Duration_Month,Initial_Plan_End_Date,Renewed,Days_Since_Join,Retention_Period,Join_Month,Join_Year,Renewal_Month,Renewal_Year
52,Male,Tablet,Canada,3,21,6,Horror,Neutral,900,2022-08-29,2023-06-28,1,10,Basic,10,1,1,2022-09-28,True,303,181-365 days,8,2022,6,2023
55,Female,Smart TV,Germany,1,23,6,Horror,Extremely satisfied,600,2023-04-20,2023-06-28,1,10,Basic,10,1,1,2023-05-20,True,69,61-90 days,4,2023,6,2023
57,Female,Laptop,Brazil,1,23,7,Dramma,Satisfied,500,2022-10-01,2023-06-25,1,10,Basic,10,1,1,2022-10-31,True,267,181-365 days,10,2022,6,2023
60,Male,Tablet,Italy,2,19,6,Action & Adventure,Satisfied,900,2023-06-14,2023-06-22,1,10,Basic,10,1,1,2023-07-14,False,8,0-30 days,6,2023,6,2023
62,Male,Smartphone,Canada,4,17,6,Horror,Extremely satisfied,600,2022-08-03,2023-06-28,1,10,Basic,10,1,1,2022-09-02,True,329,181-365 days,8,2022,6,2023
65,Female,Laptop,Germany,3,19,8,Comedy,Neutral,900,2023-03-29,2023-06-28,1,10,Basic,10,1,1,2023-04-28,True,91,91-180 days,3,2023,6,2023
67,Female,Smart TV,Brazil,3,20,10,Horror,Neutral,700,2022-09-18,2023-06-25,1,10,Basic,10,1,1,2022-10-18,True,280,181-365 days,9,2022,6,2023
70,Male,Smartphone,Italy,1,24,6,Action & Adventure,Extremely satisfied,600,2023-05-08,2023-06-22,1,10,Basic,10,1,1,2023-06-07,True,45,31-60 days,5,2023,6,2023
71,Male,Smartphone,United States,3,24,10,Horror,Extremely satisfied,800,2022-01-26,2023-06-20,1,10,Basic,10,1,1,2022-02-25,True,510,>365 days,1,2022,6,2023
72,Female,Smartphone,Canada,5,20,7,Comedy,Neutral,800,2022-10-11,2023-06-22,1,10,Basic,10,1,1,2022-11-10,True,254,181-365 days,10,2022,6,2023
75,Female,Laptop,Germany,2,21,10,Horror,Satisfied,700,2022-05-28,2023-06-26,1,13,Basic,10,1,1,2022-06-27,True,394,>365 days,5,2022,6,2023
76,Female,Laptop,France,5,18,6,Comedy,Neutral,900,2021-12-29,2023-06-26,1,13,Basic,10,1,1,2022-01-28,True,544,>365 days,12,2021,6,2023
80,Male,Tablet,Italy,2,21,6,Horror,Satisfied,1000,2022-11-08,2023-06-22,1,12,Basic,10,1,1,2022-12-08,True,226,181-365 days,11,2022,6,2023
83,Female,Smartphone,United Kingdom,5,17,8,Dramma,Extremely satisfied,800,2022-10-20,2023-06-26,1,10,Basic,10,1,1,2022-11-19,True,249,181-365 days,10,2022,6,2023
86,Female,Smartphone,France,5,20,6,Comedy,Extremely satisfied,600,2022-03-04,2023-06-25,1,11,Basic,10,1,1,2022-04-03,True,478,>365 days,3,2022,6,2023
89,Male,Smartphone,Spain,1,17,7,Action & Adventure,Extremely satisfied,800,2022-10-20,2023-06-26,1,15,Basic,10,1,1,2022-11-19,True,249,181-365 days,10,2022,6,2023
92,Male,Smart TV,Canada,3,23,9,Horror,Neutral,700,2022-01-05,2023-06-28,1,14,Basic,10,1,1,2022-02-04,True,539,>365 days,1,2022,6,2023
95,Male,Laptop,Germany,3,21,10,Action & Adventure,Extremely satisfied,900,2022-02-28,2023-06-25,1,11,Basic,10,1,1,2022-03-30,True,482,>365 days,2,2022,6,2023
97,Female,Tablet,Brazil,1,19,9,Horror,Neutral,700,2022-03-05,2023-06-24,1,10,Basic,10,1,1,2022-04-04,True,476,>365 days,3,2022,6,2023
100,Male,Laptop,Italy,5,21,10,Action & Adventure,Satisfied,600,2023-01-22,2023-06-25,1,12,Basic,10,1,1,2023-02-21,True,154,91-180 days,1,2023,6,2023
102,Male,Tablet,Canada,2,17,9,Horror,Extremely satisfied,800,2022-03-29,2023-06-28,1,12,Basic,10,1,1,2022-04-28,True,456,>365 days,3,2022,6,2023
105,Female,Laptop,Germany,2,17,6,Horror,Neutral,900,2022-03-04,2023-06-27,1,11,Basic,10,1,1,2022-04-03,True,480,>365 days,3,2022,6,2023
107,Female,Smart TV,Brazil,5,19,7,Dramma,Neutral,700,2022-03-07,2023-06-24,1,14,Basic,10,1,1,2022-04-06,True,474,>365 days,3,2022,6,2023
110,Female,Laptop,Italy,1,21,7,Comedy,Satisfied,800,2023-01-26,2023-06-24,1,13,Basic,10,1,1,2023-02-25,True,149,91-180 days,1,2023,6,2023
112,Female,Laptop,Canada,2,25,8,Dramma,Extremely satisfied,700,2022-06-01,2023-06-28,1,10,Basic,10,1,1,2022-07-01,True,392,>365 days,6,2022,6,2023
115,Female,Laptop,Germany,4,18,7,Comedy,Neutral,900,2022-04-05,2023-06-25,1,11,Basic,10,1,1,2022-05-05,True,446,>365 days,4,2022,6,2023
117,Female,Tablet,Brazil,1,19,8,Dramma,Extremely satisfied,600,2021-10-30,2023-06-23,1,15,Basic,10,1,1,2021-11-29,True,601,>365 days,10,2021,6,2023
120,Female,Smart TV,Italy,3,20,7,Comedy,Satisfied,600,2022-10-18,2023-06-25,1,10,Basic,10,1,1,2022-11-17,True,250,181-365 days,10,2022,6,2023
122,Male,Smart TV,Canada,3,22,8,Action & Adventure,Extremely satisfied,800,2022-05-03,2023-06-28,1,11,Basic,10,1,1,2022-06-02,True,421,>365 days,5,2022,6,2023
125,Male,Smartphone,Germany,3,21,10,Horror,Neutral,700,2022-08-21,2023-06-24,1,12,Basic,10,1,1,2022-09-20,True,307,181-365 days,8,2022,6,2023
127,Male,Smartphone,Brazil,2,21,6,Action & Adventure,Extremely satisfied,600,2021-11-23,2023-06-23,1,10,Basic,10,1,1,2021-12-23,True,577,>365 days,11,2021,6,2023
130,Female,Tablet,Italy,3,25,9,Horror,Neutral,900,2023-01-07,2023-06-23,1,14,Basic,10,1,1,2023-02-06,True,167,91-180 days,1,2023,6,2023
132,Female,Smart TV,Canada,1,25,10,Comedy,Extremely satisfied,700,2022-06-24,2023-06-28,1,15,Basic,10,1,1,2022-07-24,True,369,>365 days,6,2022,6,2023
135,Female,Smart TV,Germany,4,23,6,Comedy,Extremely satisfied,700,2022-07-18,2023-06-26,1,13,Basic,10,1,1,2022-08-17,True,343,181-365 days,7,2022,6,2023
137,Male,Laptop,Brazil,3,18,10,Action & Adventure,Neutral,700,2022-08-10,2023-06-22,1,12,Basic,10,1,1,2022-09-09,True,316,181-365 days,8,2022,6,2023
140,Female,Smartphone,Italy,1,23,10,Horror,Neutral,800,2022-05-02,2023-06-23,1,12,Basic,10,1,1,2022-06-01,True,417,>365 days,5,2022,6,2023
142,Male,Smart TV,Canada,4,25,8,Horror,Extremely satisfied,600,2022-06-10,2023-06-22,1,14,Basic,10,1,1,2022-07-10,True,377,>365 days,6,2022,6,2023
145,Female,Laptop,Germany,5,17,6,Comedy,Extremely satisfied,1000,2022-05-05,2023-06-26,1,11,Basic,10,1,1,2022-06-04,True,417,>365 days,5,2022,6,2023
146,Male,Tablet,France,3,23,9,Horror,Neutral,600,2022-10-06,2023-06-25,1,10,Basic,10,1,1,2022-11-05,True,262,181-365 days,10,2022,6,2023
147,Female,Laptop,Brazil,1,17,8,Comedy,Neutral,500,2022-11-08,2023-06-24,1,12,Basic,10,1,1,2022-12-08,True,228,181-365 days,11,2022,6,2023
150,Female,Laptop,Italy,5,20,8,Comedy,Satisfied,800,2022-12-15,2023-06-23,1,10,Basic,10,1,1,2023-01-14,True,190,181-365 days,12,2022,6,2023
151,Female,Laptop,United States,1,22,9,Comedy,Satisfied,800,2022-12-12,2023-06-25,1,15,Basic,10,1,1,2023-01-11,True,195,181-365 days,12,2022,6,2023
155,Male,Tablet,Germany,5,24,9,Action & Adventure,Neutral,900,2022-11-18,2023-06-27,1,14,Basic,10,1,1,2022-12-18,True,221,181-365 days,11,2022,6,2023
158,Female,Smartphone,Mexico,3,22,6,Comedy,Neutral,800,2022-10-19,2023-06-28,1,13,Basic,10,1,1,2022-11-18,True,252,181-365 days,10,2022,6,2023
161,Male,Tablet,United States,2,20,6,Action & Adventure,Extremely satisfied,800,2022-10-23,2023-06-24,1,10,Basic,10,1,1,2022-11-22,True,244,181-365 days,10,2022,6,2023
164,Female,Tablet,Australia,4,18,10,Dramma,Satisfied,600,2022-03-11,2023-06-26,1,11,Basic,10,1,1,2022-04-10,True,472,>365 days,3,2022,6,2023
167,Male,Smartphone,Brazil,5,17,9,Horror,Satisfied,500,2022-04-07,2023-06-24,1,13,Basic,10,1,1,2022-05-07,True,443,>365 days,4,2022,6,2023
170,Male,Laptop,Italy,5,18,9,Horror,Extremely satisfied,900,2023-01-12,2023-06-25,1,14,Basic,10,1,1,2023-02-11,True,164,91-180 days,1,2023,6,2023
172,Female,Smartphone,Canada,3,24,6,Comedy,Neutral,800,2022-04-27,2023-06-26,1,12,Basic,10,1,1,2022-05-27,True,425,>365 days,4,2022,6,2023
175,Female,Laptop,Germany,3,21,6,Comedy,Neutral,700,2022-04-22,2023-06-26,1,10,Basic,10,1,1,2022-05-22,True,430,>365 days,4,2022,6,2023
177,Female,Smartphone,Brazil,1,20,6,Horror,Satisfied,500,2022-05-23,2023-06-26,1,15,Basic,10,1,1,2022-06-22,True,399,>365 days,5,2022,6,2023
180,Male,Laptop,Italy,2,20,8,Action & Adventure,Satisfied,1000,2022-09-26,2023-06-25,1,14,Basic,10,1,1,2022-10-26,True,272,181-365 days,9,2022,6,2023
182,Female,Laptop,Canada,3,23,10,Horror,Extremely satisfied,900,2022-05-16,2023-06-25,1,13,Basic,10,1,1,2022-06-15,True,405,>365 days,5,2022,6,2023
185,Female,Tablet,Germany,3,23,10,Horror,Extremely satisfied,900,2022-05-12,2023-06-25,1,11,Basic,10,1,1,2022-06-11,True,409,>365 days,5,2022,6,2023
187,Female,Laptop,Brazil,3,23,9,Dramma,Extremely satisfied,800,2022-07-10,2023-06-24,1,13,Basic,10,1,1,2022-08-09,True,349,181-365 days,7,2022,6,2023
190,Female,Tablet,Italy,5,22,7,Comedy,Satisfied,700,2022-09-18,2023-06-26,1,11,Basic,10,1,1,2022-10-18,True,281,181-365 days,9,2022,6,2023
192,Female,Smartphone,Canada,1,25,9,Dramma,Extremely satisfied,600,2022-06-26,2023-06-27,1,14,Basic,10,1,1,2022-07-26,True,366,>365 days,6,2022,6,2023
195,Female,Smartphone,Germany,2,20,10,Dramma,Satisfied,700,2022-08-26,2023-06-24,1,11,Basic,10,1,1,2022-09-25,True,302,181-365 days,8,2022,6,2023
197,Male,Tablet,Brazil,5,23,9,Action & Adventure,Neutral,500,2022-09-27,2023-06-23,1,14,Basic,10,1,1,2022-10-27,True,269,181-365 days,9,2022,6,2023
200,Female,Tablet,Italy,3,23,7,Comedy,Extremely satisfied,600,2022-10-13,2023-06-25,1,11,Basic,10,1,1,2022-11-12,True,255,181-365 days,10,2022,6,2023
202,Female,Tablet,Canada,5,20,9,Dramma,Neutral,1000,2022-06-26,2023-06-27,1,12,Basic,10,1,1,2022-07-26,True,366,>365 days,6,2022,6,2023
205,Male,Smart TV,Germany,5,18,7,Horror,Satisfied,700,2022-07-30,2023-06-25,1,12,Basic,10,1,1,2022-08-29,True,330,181-365 days,7,2022,6,2023
207,Female,Smartphone,Brazil,1,23,6,Horror,Neutral,600,2022-09-16,2023-06-24,1,15,Basic,10,1,1,2022-10-16,True,281,181-365 days,9,2022,6,2023
210,Female,Laptop,Italy,2,18,9,Horror,Extremely satisfied,700,2022-11-22,2023-06-26,1,14,Basic,10,1,1,2022-12-22,True,216,181-365 days,11,2022,6,2023
212,Male,Smart TV,Canada,1,25,10,Action & Adventure,Neutral,800,2022-10-28,2023-06-26,1,11,Basic,10,1,1,2022-11-27,True,241,181-365 days,10,2022,6,2023
215,Female,Smartphone,Germany,1,18,8,Dramma,Neutral,600,2022-09-02,2023-06-27,1,13,Basic,10,1,1,2022-10-02,True,298,181-365 days,9,2022,6,2023
217,Male,Smart TV,Brazil,2,22,10,Horror,Extremely satisfied,800,2022-11-13,2023-06-25,1,15,Basic,10,1,1,2022-12-13,True,224,181-365 days,11,2022,6,2023
220,Male,Tablet,Italy,5,25,8,Horror,Neutral,600,2022-11-26,2023-06-27,1,12,Basic,10,1,1,2022-12-26,True,213,181-365 days,11,2022,6,2023
221,Male,Smartphone,United States,2,22,9,Horror,Neutral,900,2022-11-26,2023-06-25,1,12,Basic,10,1,1,2022-12-26,True,211,181-365 days,11,2022,6,2023
222,Female,Smartphone,Canada,2,18,10,Comedy,Extremely satisfied,600,2022-12-12,2023-06-26,1,10,Basic,10,1,1,2023-01-11,True,196,181-365 days,12,2022,6,2023
225,Female,Smartphone,Germany,3,20,9,Dramma,Neutral,700,2022-10-11,2023-06-27,1,14,Basic,10,1,1,2022-11-10,True,259,181-365 days,10,2022,6,2023
226,Male,Smartphone,France,3,25,6,Action & Adventure,Neutral,900,2022-09-27,2023-06-26,1,10,Basic,10,1,1,2022-10-27,True,272,181-365 days,9,2022,6,2023
230,Male,Laptop,Italy,4,23,10,Horror,Extremely satisfied,800,2022-10-30,2023-06-26,1,12,Basic,10,1,1,2022-11-29,True,239,181-365 days,10,2022,6,2023
233,Female,Smart TV,United Kingdom,5,24,10,Horror,Satisfied,800,2022-07-07,2023-06-26,1,15,Basic,10,1,1,2022-08-06,True,354,181-365 days,7,2022,6,2023
236,Female,Smartphone,France,4,20,9,Dramma,Neutral,800,2022-05-08,2023-06-26,1,11,Basic,10,1,1,2022-06-07,True,414,>365 days,5,2022,6,2023
239,Male,Smart TV,Spain,1,24,7,Action & Adventure,Satisfied,800,2022-12-23,2023-06-26,1,15,Basic,10,1,1,2023-01-22,True,185,181-365 days,12,2022,6,2023
242,Male,Laptop,Canada,4,17,10,Action & Adventure,Neutral,900,2022-06-02,2023-06-26,1,12,Basic,10,1,1,2022-07-02,True,389,>365 days,6,2022,6,2023
245,Male,Smart TV,Germany,3,20,6,Horror,Extremely satisfied,600,2022-04-20,2023-06-26,1,13,Basic,10,1,1,2022-05-20,True,432,>365 days,4,2022,6,2023
247,Male,Smart TV,Brazil,3,17,8,Action & Adventure,Satisfied,500,2022-07-07,2023-06-27,1,12,Basic,10,1,1,2022-08-06,True,355,181-365 days,7,2022,6,2023
250,Male,Laptop,Italy,1,20,8,Action & Adventure,Satisfied,900,2022-08-09,2023-06-26,1,14,Basic,10,1,1,2022-09-08,True,321,181-365 days,8,2022,6,2023
252,Female,Smartphone,Canada,3,19,9,Dramma,Neutral,700,2022-05-30,2023-06-26,1,11,Basic,10,1,1,2022-06-29,True,392,>365 days,5,2022,6,2023
255,Female,Smart TV,Germany,2,19,9,Dramma,Extremely dissatisfied,600,2022-05-20,2023-06-26,1,13,Basic,10,1,1,2022-06-19,True,402,>365 days,5,2022,6,2023
257,Male,Laptop,Brazil,3,19,9,Horror,Neutral,600,2022-06-17,2023-06-25,1,13,Basic,10,1,1,2022-07-17,True,373,>365 days,6,2022,6,2023
260,Female,Smartphone,Italy,1,18,8,Horror,Extremely dissatisfied,600,2022-07-17,2023-06-26,1,10,Basic,10,1,1,2022-08-16,True,344,181-365 days,7,2022,6,2023
262,Female,Tablet,Canada,4,22,7,Horror,Neutral,800,2022-07-13,2023-06-26,1,12,Basic,10,1,1,2022-08-12,True,348,181-365 days,7,2022,6,2023
265,Female,Smart TV,Germany,1,23,9,Comedy,Neutral,700,2022-08-05,2023-06-25,1,11,Basic,10,1,1,2022-09-04,True,324,181-365 days,8,2022,6,2023
267,Female,Laptop,Brazil,2,17,10,Horror,Dissatisfied,700,2022-09-08,2023-06-27,1,11,Basic,10,1,1,2022-10-08,True,292,181-365 days,9,2022,6,2023
270,Male,Smart TV,Italy,4,23,7,Action & Adventure,Extremely satisfied,800,2022-09-04,2023-06-25,1,12,Basic,10,1,1,2022-10-04,True,294,181-365 days,9,2022,6,2023
272,Female,Smartphone,Canada,5,23,6,Dramma,Neutral,900,2022-08-10,2023-06-26,1,10,Basic,10,1,1,2022-09-09,True,320,181-365 days,8,2022,6,2023
275,Female,Laptop,Germany,2,25,7,Horror,Extremely satisfied,700,2022-08-06,2023-06-25,1,15,Basic,10,1,1,2022-09-05,True,323,181-365 days,8,2022,6,2023
277,Female,Tablet,Brazil,4,18,10,Horror,Extremely satisfied,600,2022-09-12,2023-06-26,1,13,Basic,10,1,1,2022-10-12,True,287,181-365 days,9,2022,6,2023
280,Female,Laptop,Italy,5,24,8,Horror,Extremely satisfied,600,2022-11-13,2023-06-27,1,12,Basic,10,1,1,2022-12-13,True,226,181-365 days,11,2022,6,2023
282,Male,Smart TV,Canada,5,20,7,Horror,Neutral,800,2022-10-30,2023-06-25,1,11,Basic,10,1,1,2022-11-29,True,238,181-365 days,10,2022,6,2023
285,Female,Laptop,Germany,3,18,10,Dramma,Neutral,700,2022-09-01,2023-06-27,1,10,Basic,10,1,1,2022-10-01,True,299,181-365 days,9,2022,6,2023
287,Male,Smartphone,Brazil,1,24,7,Action & Adventure,Neutral,800,2022-10-16,2023-06-26,1,10,Basic,10,1,1,2022-11-15,True,253,181-365 days,10,2022,6,2023
290,Male,Smartphone,Italy,3,19,7,Action & Adventure,Dissatisfied,700,2022-11-25,2023-06-30,1,12,Basic,10,1,1,2022-12-25,True,217,181-365 days,11,2022,6,2023
292,Female,Laptop,Canada,3,17,6,Horror,Extremely dissatisfied,1000,2022-12-12,2023-06-27,1,11,Basic,10,1,1,2023-01-11,True,197,181-365 days,12,2022,6,2023
295,Male,Laptop,Germany,5,20,9,Horror,Dissatisfied,900,2022-10-03,2023-06-27,1,14,Basic,10,1,1,2022-11-02,True,267,181-365 days,10,2022,6,2023
296,Female,Tablet,France,1,19,9,Horror,Extremely dissatisfied,800,2022-10-01,2023-06-27,1,12,Basic,10,1,1,2022-10-31,True,269,181-365 days,10,2022,6,2023
297,Male,Smartphone,Brazil,1,17,9,Horror,Extremely satisfied,500,2022-11-02,2023-06-24,1,13,Basic,10,1,1,2022-12-02,True,234,181-365 days,11,2022,6,2023
300,Male,Laptop,Italy,4,21,10,Action & Adventure,Neutral,600,2022-10-30,2023-06-28,1,11,Basic,10,1,1,2022-11-29,True,241,181-365 days,10,2022,6,2023
301,Female,Laptop,United States,3,20,10,Horror,Extremely dissatisfied,900,2022-09-27,2023-06-24,1,10,Basic,10,1,1,2022-10-27,True,270,181-365 days,9,2022,6,2023
305,Male,Smart TV,Germany,2,20,6,Horror,Extremely dissatisfied,900,2022-05-24,2023-06-26,1,13,Basic,10,1,1,2022-06-23,True,398,>365 days,5,2022,6,2023
308,Male,Smart TV,Mexico,2,25,7,Horror,Neutral,600,2022-10-27,2023-06-27,1,13,Basic,10,1,1,2022-11-26,True,243,181-365 days,10,2022,6,2023
311,Female,Smartphone,United States,3,21,10,Horror,Satisfied,600,2022-06-07,2023-06-27,1,15,Basic,10,1,1,2022-07-07,True,385,>365 days,6,2022,6,2023
314,Male,Laptop,Australia,5,23,9,Horror,Extremely satisfied,700,2022-04-21,2023-06-26,1,10,Basic,10,1,1,2022-05-21,True,431,>365 days,4,2022,6,2023
317,Female,Tablet,Brazil,5,24,6,Horror,Satisfied,700,2022-08-25,2023-06-28,1,15,Basic,10,1,1,2022-09-24,True,307,181-365 days,8,2022,6,2023
320,Female,Laptop,Italy,1,24,10,Comedy,Extremely satisfied,800,2022-08-02,2023-06-27,1,15,Basic,10,1,1,2022-09-01,True,329,181-365 days,8,2022,6,2023
322,Male,Smartphone,Canada,5,23,10,Horror,Extremely dissatisfied,900,2022-06-04,2023-06-27,1,15,Basic,10,1,1,2022-07-04,True,388,>365 days,6,2022,6,2023
325,Male,Tablet,Germany,2,20,6,Action & Adventure,Extremely satisfied,700,2022-05-29,2023-06-27,1,13,Basic,10,1,1,2022-06-28,True,394,>365 days,5,2022,6,2023
327,Female,Smartphone,Brazil,4,25,9,Dramma,Extremely satisfied,700,2022-07-06,2023-06-26,1,12,Basic,10,1,1,2022-08-05,True,355,181-365 days,7,2022,6,2023
330,Female,Smart TV,Italy,2,19,7,Horror,Dissatisfied,1000,2022-07-06,2023-06-26,1,10,Basic,10,1,1,2022-08-05,True,355,181-365 days,7,2022,6,2023
332,Male,Tablet,Canada,3,29,3,Action & Adventure,Neutral,4000,2022-07-22,2023-06-26,1,14,Basic,10,1,1,2022-08-21,True,339,181-365 days,7,2022,6,2023
335,Female,Tablet,Germany,5,35,4,Comedy,Neutral,3700,2022-08-11,2023-06-25,1,10,Basic,10,1,1,2022-09-10,True,318,181-365 days,8,2022,6,2023
337,Male,Laptop,Brazil,1,30,4,Horror,Extremely satisfied,1800,2022-10-11,2023-06-27,1,13,Basic,10,1,1,2022-11-10,True,259,181-365 days,10,2022,6,2023
340,Female,Smartphone,Italy,2,32,2,Comedy,Satisfied,3500,2022-09-13,2023-06-25,1,14,Basic,10,1,1,2022-10-13,True,285,181-365 days,9,2022,6,2023
342,Female,Laptop,Canada,5,33,3,Horror,Extremely satisfied,3800,2022-08-09,2023-06-26,1,11,Basic,10,1,1,2022-09-08,True,321,181-365 days,8,2022,6,2023
345,Female,Smart TV,Germany,5,34,3,Comedy,Extremely satisfied,4100,2022-08-08,2023-06-25,1,10,Basic,10,1,1,2022-09-07,True,321,181-365 days,8,2022,6,2023
347,Male,Smartphone,Brazil,4,30,4,Horror,Satisfied,1700,2022-09-21,2023-06-28,1,14,Basic,10,1,1,2022-10-21,True,280,181-365 days,9,2022,6,2023
350,Female,Smartphone,Italy,1,32,2,Dramma,Satisfied,4000,2022-11-02,2023-06-28,1,10,Basic,10,1,1,2022-12-02,True,238,181-365 days,11,2022,6,2023
352,Male,Laptop,Canada,2,34,2,Horror,Satisfied,3800,2022-09-20,2023-06-26,1,10,Basic,10,1,1,2022-10-20,True,279,181-365 days,9,2022,6,2023
355,Female,Tablet,Germany,2,33,2,Comedy,Extremely satisfied,3400,2022-10-12,2023-06-27,1,15,Basic,10,1,1,2022-11-11,True,258,181-365 days,10,2022,6,2023
357,Male,Smartphone,Brazil,3,26,2,Horror,Neutral,2100,2022-10-18,2023-06-26,1,15,Basic,10,1,1,2022-11-17,True,251,181-365 days,10,2022,6,2023
360,Female,Tablet,Italy,5,27,4,Dramma,Neutral,3600,2022-11-21,2023-06-30,1,15,Basic,10,1,1,2022-12-21,True,221,181-365 days,11,2022,6,2023
362,Male,Laptop,Canada,2,26,2,Action & Adventure,Satisfied,3700,2022-12-08,2023-06-27,1,11,Basic,10,1,1,2023-01-07,True,201,181-365 days,12,2022,6,2023
365,Male,Laptop,Germany,1,33,2,Horror,Neutral,3400,2022-10-13,2023-06-27,1,11,Basic,10,1,1,2022-11-12,True,257,181-365 days,10,2022,6,2023
367,Male,Laptop,Brazil,2,33,2,Horror,Satisfied,2300,2022-10-23,2023-06-25,1,13,Basic,10,1,1,2022-11-22,True,245,181-365 days,10,2022,6,2023
370,Female,Smartphone,Italy,5,26,2,Horror,Extremely satisfied,4000,2022-10-22,2023-06-29,1,11,Basic,10,1,1,2022-11-21,True,250,181-365 days,10,2022,6,2023
371,Male,Tablet,United States,2,33,2,Action & Adventure,Neutral,3500,2022-09-30,2023-06-25,1,11,Basic,10,1,1,2022-10-30,True,268,181-365 days,9,2022,6,2023
372,Female,Tablet,Canada,2,30,4,Dramma,Satisfied,4000,2022-09-06,2023-06-27,1,11,Basic,10,1,1,2022-10-06,True,294,181-365 days,9,2022,6,2023
375,Female,Laptop,Germany,3,29,4,Comedy,Satisfied,3900,2022-06-17,2023-06-28,1,14,Basic,10,1,1,2022-07-17,True,376,>365 days,6,2022,6,2023
376,Female,Smartphone,France,5,34,4,Comedy,Extremely satisfied,3700,2022-06-20,2023-06-27,1,12,Basic,10,1,1,2022-07-20,True,372,>365 days,6,2022,6,2023
